date,AWU,AXC,BGN,BMG,CHWK,CUU,DLVY,DVRL,EHH,EUZ,EXY,EZVY,FJKV,FJZC,FRCE,FSVO,HECP,HER,HESC,HRVC,HXX,IEZI,IOV,IRX,IYPP,JMS,JWDV,JXAN,KEQ,KER,KGO,KSR,KTVL,KUAQ,LJGB,LMLK,MEF,MHNG,MTZB,NDQC,NEGH,NKP,NSLG,NZSR,OBAK,OCG,OKK,OLE,OWKQ,OZI,OZMT,PDX,PQCE,PSWA,PUO,PYTC,QEBK,RALO,RLZA,RPEZ,RQG,RVWV,RZW,SEBI,SGVQ,SIP,SLRR,SXQ,TGXX,TQKA,TRE,TUMH,UAIG,UFT,UTQ,UZS,VBB,VCXW,VDHJ,VHE,VLOZ,WFS,WHMG,WNE,WOXI,XAU,XBN,XJJI,XSOQ,XWR,XYCJ,XZFM,YPDA,ZEA,ZGL,ZOE,ZWH,ZWNG,ZXGV,ZZQB
2010-01-20,180.44,44.59,,60.47,119.7,114.38,136.32,76.17,160.61,93.71,144.73,205.56,122.84,141.38,33.53,110.92,165.58,172.87,35.29,,102.9,145.39,,,,74.58,99.61,,57.83,,122.62,160.14,54.96,168.67,134.33,73.07,103.71,97.32,95.32,168.21,175.37,84.93,163.72,74.91,52.39,190.6,65.9,112.01,95.34,104.73,58.21,123.01,180.75,121.25,64.73,74.86,32.12,156.65,126.83,85.95,183.58,120.88,60.71,148.27,80.72,124.12,90.33,149.61,202.41,117.91,149.91,118.13,157.34,201.73,77.25,73.85,60.07,93.23,60.16,164.98,178.95,147.13,97.35,170.75,72.05,55.19,91.75,96.48,92.5,122.36,38.32,175.15,150.72,65.18,64.93,34.67,198.63,151.6,193.96,152.32
2010-01-21,176.03,43.68,,60.24,113.68,107.77,136.09,74.3,160.11,94.33,138.39,204.64,119.54,140.0,32.94,110.31,159.2,167.6,34.65,,100.29,140.59,,,,74.32,96.98,,56.79,,121.25,159.78,54.34,164.61,131.45,72.5,101.38,96.02,94.95,170.13,174.51,83.6,158.77,71.06,51.05,185.59,64.07,113.32,92.37,100.6,57.78,120.76,178.94,119.23,64.65,73.96,31.8,153.01,123.41,84.3,177.98,110.12,60.51,148.71,78.2,121.88,87.85,149.51,196.28,112.73,144.59,116.55,160.92,197.79,76.08,73.23,59.1,91.24,62.98,164.03,175.12,146.27,94.72,165.72,69.65,53.98,92.01,95.55,92.38,120.98,37.79,173.17,148.41,64.14,63.73,34.39,194.98,148.03,193.81,146.62
2010-01-22,170.1,42.01,,60.1,111.03,103.95,134.06,72.31,157.0,91.84,134.62,195.68,116.72,137.21,31.67,108.61,156.89,164.28,32.6,,100.8,137.0,,,,72.83,96.68,,52.01,,117.39,156.23,53.6,165.0,128.64,69.63,98.69,93.77,91.85,167.2,172.76,82.67,156.73,67.76,50.3,180.27,62.88,108.94,91.3,97.78,56.55,118.93,179.37,116.97,63.08,73.73,30.92,148.91,122.54,82.46,173.82,106.21,58.82,144.02,77.01,117.96,84.96,149.81,192.46,110.48,142.32,114.89,156.54,197.07,71.28,72.76,58.07,90.41,60.53,161.9,175.34,143.35,94.26,161.75,67.95,53.49,90.46,92.61,90.66,117.69,36.86,171.1,144.52,63.16,62.31,34.23,191.93,145.51,188.69,141.72
2010-01-25,171.7,41.49,,60.38,109.86,104.33,135.86,71.9,160.61,93.01,136.61,199.83,117.1,137.82,31.51,109.6,158.45,166.77,32.9,,100.71,136.43,,,,72.98,96.27,,51.06,,117.69,155.16,54.65,166.02,128.88,70.03,100.76,94.76,91.24,166.09,174.02,82.93,154.9,68.96,50.53,180.75,64.45,108.26,90.74,99.46,56.33,118.4,176.74,117.2,62.81,72.08,30.77,152.26,121.73,83.66,171.78,106.22,58.96,146.58,77.29,117.67,85.39,149.02,194.16,111.84,141.53,115.41,153.15,199.16,72.6,72.95,58.45,91.02,59.29,164.5,175.16,143.31,94.2,162.21,69.22,53.39,91.1,93.03,91.55,117.56,37.03,172.41,146.85,62.97,62.63,34.67,191.91,145.26,190.88,142.03
2010-01-26,171.74,41.44,,60.46,109.81,104.02,144.88,70.89,157.07,90.73,135.6,197.8,117.82,137.45,31.19,109.36,156.97,165.61,32.24,,100.16,136.82,,,,72.9,96.6,,51.3,,117.32,154.28,53.35,166.22,128.74,68.85,99.61,96.2,89.79,167.25,172.85,83.39,154.03,69.93,50.16,179.77,64.7,101.08,89.58,99.78,55.98,121.93,178.91,115.01,61.97,73.79,30.76,154.51,123.36,83.77,168.79,103.38,58.9,142.57,75.25,115.93,85.0,150.9,191.69,110.83,141.2,115.14,154.85,199.41,72.29,73.05,57.51,90.37,58.45,161.91,173.89,142.61,92.26,160.88,68.75,53.1,89.04,93.45,91.51,117.42,37.03,173.09,144.05,63.85,62.6,34.51,190.8,142.88,186.41,141.23
2010-01-27,171.63,41.84,,60.05,108.09,106.44,147.12,71.57,153.78,94.84,132.69,198.32,116.31,137.44,30.58,110.28,159.26,169.55,32.84,,99.75,139.51,,,,72.44,97.48,,51.99,,115.5,154.17,51.68,169.85,128.36,69.22,101.69,95.44,89.88,169.1,175.57,83.3,153.76,66.79,49.42,182.98,64.35,102.81,92.13,99.95,55.88,123.36,178.09,115.44,61.43,73.97,30.82,157.43,124.77,84.63,175.71,102.09,59.39,146.01,76.52,117.65,87.54,150.59,188.61,111.89,142.27,114.17,156.16,192.64,73.48,73.5,57.51,88.96,61.34,163.43,171.95,143.9,91.9,158.26,69.63,53.12,92.12,93.26,90.79,115.76,39.64,170.96,142.78,63.4,61.52,34.99,192.24,142.65,187.02,138.49
2010-01-28,165.2,42.65,,59.84,105.92,103.58,146.32,70.4,150.37,95.6,133.13,196.21,115.32,137.23,30.36,111.41,171.85,165.73,31.93,,98.59,139.78,,,,71.85,97.01,,50.25,,112.2,152.39,50.59,169.73,126.97,67.22,100.37,94.11,89.44,164.28,175.08,82.38,151.75,65.07,49.01,181.61,63.28,107.56,90.94,96.01,54.86,121.05,173.58,115.24,61.62,75.25,30.31,157.28,124.65,84.7,172.98,98.73,58.11,130.2,76.07,115.51,82.71,148.35,184.69,110.41,139.82,114.04,156.75,203.17,69.18,72.94,56.86,84.29,63.37,161.89,170.9,141.23,90.9,155.9,68.96,52.34,91.9,91.42,88.8,115.86,40.24,171.18,141.98,63.57,60.68,33.98,193.64,140.45,183.14,136.64
2010-01-29,162.0,42.93,,59.38,103.15,102.03,146.32,71.92,144.33,95.51,128.67,197.6,114.67,136.21,29.71,110.17,179.22,158.67,30.54,,96.53,140.99,,,,72.24,98.49,,50.44,,111.52,152.01,51.29,166.75,126.79,66.04,99.34,93.2,90.76,159.52,174.05,81.64,149.11,65.48,46.81,181.15,63.24,106.45,89.44,93.89,54.72,120.31,172.78,115.43,61.35,76.35,30.26,157.78,126.69,84.53,171.64,95.64,57.59,125.62,75.61,115.37,79.86,147.07,184.25,107.03,140.34,114.94,154.69,203.64,68.98,73.01,56.63,83.68,65.4,160.13,170.42,140.92,90.12,154.53,69.33,52.34,92.66,90.53,87.78,113.44,39.09,172.0,139.33,62.72,60.17,33.92,190.76,140.37,189.48,135.02
2010-02-01,168.22,43.7,,59.97,105.24,103.42,149.68,71.92,149.92,96.8,134.04,201.18,114.96,137.63,29.96,110.82,178.72,164.94,32.12,,99.27,140.57,,,,72.05,98.63,,51.1,,113.84,153.61,52.42,168.47,130.31,67.84,100.59,93.81,90.94,166.39,174.21,82.57,152.03,66.13,47.17,184.89,63.84,111.91,89.12,95.8,55.47,121.22,176.28,117.7,61.72,76.64,30.3,156.58,128.47,86.2,174.71,102.93,58.87,129.14,77.23,117.76,82.93,150.74,187.95,108.72,140.87,114.91,161.15,207.32,70.17,73.66,57.32,84.81,64.61,162.74,173.16,144.93,91.7,157.94,70.6,52.31,92.94,91.13,88.54,113.39,39.83,173.76,146.95,63.66,60.2,34.16,191.84,143.48,184.5,139.77
2010-02-02,173.31,45.33,,61.65,107.27,107.82,152.04,71.76,153.48,96.69,134.53,201.97,115.75,139.89,30.4,113.07,175.03,166.17,30.49,,98.43,142.67,,,,72.31,101.07,,52.4,,115.87,156.93,53.06,170.76,133.71,67.8,101.94,94.83,92.09,166.84,176.85,85.43,155.09,66.77,49.34,188.3,63.47,111.02,89.46,96.84,55.19,122.01,173.05,118.8,62.58,79.71,30.59,156.26,130.34,88.1,175.47,103.55,59.37,135.03,79.2,119.84,83.7,150.51,195.48,108.69,142.85,117.17,162.81,212.35,70.56,73.75,57.45,86.41,64.78,164.98,175.27,145.92,92.88,161.16,71.36,52.79,92.05,92.09,89.05,112.07,39.81,176.7,150.41,65.72,60.29,34.53,194.38,143.94,182.94,151.57
2010-02-03,173.31,44.96,,61.01,105.91,105.16,149.12,71.12,152.62,94.58,132.86,200.94,112.69,139.87,30.45,112.42,175.79,162.79,30.57,,102.93,140.72,,,,73.75,99.88,,51.57,,114.81,156.31,54.53,170.74,131.6,65.99,100.45,95.01,83.73,169.87,176.51,85.86,155.0,66.68,48.79,182.08,64.23,108.07,89.87,95.81,54.81,121.38,170.5,121.47,62.58,80.5,30.62,153.15,128.93,86.21,174.08,100.38,59.34,134.64,78.28,117.48,82.68,153.08,202.74,107.44,138.71,116.72,162.84,209.08,68.74,74.06,57.18,84.44,63.81,155.52,170.0,144.47,92.83,158.08,69.7,52.55,90.4,91.17,88.92,112.2,39.67,175.77,148.07,64.77,59.78,34.02,193.15,140.41,181.04,153.34
2010-02-04,166.8,40.96,,59.53,102.56,99.24,148.15,68.69,146.51,90.69,117.64,192.59,110.16,135.97,29.73,109.52,169.2,155.53,28.59,,98.23,136.5,,,,70.88,97.2,,50.38,,110.36,151.71,52.3,169.83,125.63,63.37,98.15,92.36,80.94,163.1,172.94,84.57,154.84,64.43,47.04,183.93,62.95,102.68,87.13,91.98,53.29,118.24,161.12,118.67,60.9,79.78,29.92,147.72,124.81,82.17,173.69,95.12,58.03,128.9,74.5,112.36,81.65,150.53,197.48,103.54,134.48,114.9,160.21,201.72,66.42,71.36,55.81,82.11,62.53,151.04,164.3,136.76,88.91,152.62,66.44,51.37,87.28,87.96,87.21,109.32,38.44,176.29,141.45,63.33,58.21,33.52,189.73,140.53,177.89,148.89
2010-02-05,168.77,40.81,,59.14,103.54,100.67,149.01,67.74,149.53,91.93,116.61,187.45,108.65,135.49,30.28,110.24,170.85,156.63,28.8,,97.45,136.43,,,,71.48,97.57,,50.74,,109.61,155.07,51.69,171.37,127.89,63.4,98.01,92.0,80.72,160.04,175.21,83.54,153.38,64.8,46.55,184.98,62.79,103.33,87.76,93.73,54.08,116.49,159.01,118.4,61.19,78.78,29.84,148.98,124.09,84.05,171.89,100.54,58.21,129.06,75.01,112.47,82.2,148.6,197.23,102.93,133.62,114.29,155.0,200.62,68.24,71.32,56.38,82.06,63.12,150.4,162.78,134.95,89.93,153.04,70.09,51.28,88.75,87.77,86.45,108.99,37.82,176.53,141.5,61.4,59.01,33.49,189.93,144.4,179.83,148.54
2010-02-08,170.35,40.68,,57.85,103.21,100.4,147.28,67.38,153.9,88.74,117.04,190.53,106.9,133.11,29.58,110.38,167.52,152.68,29.29,,96.26,136.89,,,,69.94,97.05,,49.48,,108.29,149.74,52.54,169.57,124.88,64.76,97.84,90.45,79.46,163.54,173.73,82.68,154.92,63.59,47.56,180.88,63.94,103.94,88.5,92.46,53.26,115.25,158.14,117.52,61.42,79.88,29.6,147.2,123.74,82.36,173.07,100.2,57.7,129.42,72.79,112.3,81.26,148.07,194.4,101.54,132.63,114.05,162.86,199.49,67.43,70.68,56.43,82.19,63.71,150.05,171.69,134.06,86.96,155.39,67.72,50.49,86.77,86.93,86.02,109.31,37.61,175.6,139.33,61.7,58.56,33.22,188.9,139.89,178.75,148.47
2010-02-09,172.97,41.23,,58.86,100.79,95.33,149.01,69.19,159.67,89.37,119.22,194.29,108.97,134.31,29.89,111.25,166.75,154.19,29.52,,99.55,139.16,,,,70.68,98.6,,50.28,,110.79,148.92,53.16,170.74,124.07,66.56,98.68,91.7,79.55,167.83,175.66,83.58,156.0,67.01,48.48,180.88,64.57,104.87,90.42,93.38,53.95,113.94,158.7,119.51,62.37,80.95,29.62,145.5,125.7,82.1,173.81,104.52,58.34,131.61,72.47,114.98,82.17,149.63,197.56,104.37,132.69,115.05,164.53,201.58,68.83,72.19,56.2,82.61,63.99,151.56,171.6,136.43,86.76,148.97,67.36,51.63,86.63,87.84,87.2,112.05,38.98,177.53,142.4,61.69,59.35,33.45,190.32,142.47,181.56,154.31
2010-02-10,171.45,40.7,,58.65,100.75,98.45,147.64,68.92,158.81,90.94,114.82,195.65,108.1,134.12,30.45,110.3,166.84,157.31,28.55,,97.33,138.75,,,,69.72,99.73,,50.81,,111.04,148.76,53.52,170.96,123.97,67.29,98.97,91.73,81.33,168.61,174.54,83.9,155.2,66.54,48.08,180.4,65.19,105.72,89.64,93.54,53.57,112.88,153.63,118.19,62.07,80.5,29.54,146.32,126.27,81.8,172.83,103.27,58.07,125.66,73.69,114.59,81.79,149.3,196.66,103.98,131.86,113.08,161.29,199.27,69.26,72.24,56.39,83.51,63.92,150.42,171.29,136.99,86.88,150.38,66.68,51.43,87.32,87.23,86.55,106.85,38.91,178.34,138.7,60.85,59.04,33.6,190.44,142.17,181.94,153.1
2010-02-11,176.11,42.11,,59.33,101.44,97.72,148.94,70.64,162.88,90.66,110.51,199.66,103.56,135.0,30.28,111.37,168.99,154.88,29.13,,98.35,141.29,,,,69.89,102.01,,51.52,,112.46,150.93,52.61,171.97,125.1,68.53,99.63,92.72,80.39,170.51,174.76,84.28,157.8,70.47,48.85,182.52,65.71,105.53,91.32,97.4,54.46,113.0,156.81,119.01,63.09,82.65,29.73,147.51,129.07,82.86,175.3,106.82,58.54,127.51,74.66,116.98,82.95,150.74,197.96,105.86,133.11,113.41,163.98,205.98,71.34,72.4,56.73,84.35,66.04,151.72,174.06,138.03,86.04,150.75,67.2,51.43,87.18,87.46,79.18,107.05,39.47,180.01,140.21,61.13,60.1,33.6,190.55,142.01,182.47,161.23
2010-02-12,175.76,41.27,,59.96,100.71,99.67,149.59,70.23,163.46,89.83,110.76,199.63,102.18,134.41,29.28,111.96,170.34,156.03,29.11,,99.67,140.51,,,,69.47,101.07,,51.66,,111.42,151.94,53.87,173.57,126.2,68.74,99.65,92.79,80.52,168.9,174.03,83.64,159.36,70.52,49.0,185.17,64.64,105.0,92.07,97.79,54.53,112.43,157.84,118.77,63.75,85.66,29.87,153.37,129.03,84.29,174.38,106.4,58.47,129.57,72.8,115.37,82.73,150.05,198.36,104.57,132.73,112.6,170.14,206.4,71.84,71.95,56.17,83.62,66.29,150.98,172.52,137.88,88.08,150.63,67.79,51.09,86.19,87.97,77.09,109.69,38.81,178.46,139.08,62.02,59.79,33.82,189.71,142.41,183.01,161.66
2010-02-16,180.27,41.9,,63.81,104.09,102.24,150.56,71.75,167.65,91.69,112.85,202.51,102.46,138.18,29.68,113.73,174.11,159.56,29.67,,102.23,145.39,,,,70.75,100.78,,53.37,,114.63,154.41,54.62,177.57,129.37,69.38,100.53,95.92,83.09,171.49,175.72,85.57,161.04,71.3,48.98,192.47,65.66,109.19,92.49,100.85,54.21,114.53,162.95,120.81,64.16,85.93,30.06,158.38,131.64,86.58,176.71,107.97,59.19,134.62,76.61,117.98,83.63,150.7,200.8,106.93,131.55,113.13,169.35,207.31,73.46,73.06,56.9,85.11,65.9,155.1,174.91,138.47,92.38,154.22,70.29,52.89,88.37,90.48,77.06,110.68,39.61,182.77,143.04,63.58,60.91,34.3,192.18,146.7,185.42,167.39
2010-02-17,177.43,41.7,,63.65,103.9,102.44,151.02,71.68,167.35,91.53,112.48,204.1,101.02,138.4,30.05,115.06,173.5,162.1,29.95,,104.65,146.05,,,,71.02,103.05,,52.58,,113.46,156.16,55.19,177.87,130.77,69.35,102.57,96.31,82.58,173.04,176.14,85.68,162.39,72.02,48.61,193.18,65.36,107.14,91.75,100.57,54.89,112.67,162.39,122.06,63.68,85.25,29.97,160.75,131.79,87.32,177.42,106.26,59.78,134.07,78.01,119.5,84.65,151.34,204.18,108.45,131.17,112.96,170.74,208.39,72.58,73.96,57.15,85.42,66.04,155.51,177.51,138.99,92.56,154.47,71.0,53.04,88.38,90.53,77.96,120.01,40.05,183.81,144.86,64.53,60.41,34.78,193.18,148.97,185.46,165.66
2010-02-18,175.76,41.63,,63.52,104.27,103.08,152.02,71.74,173.1,91.21,110.83,202.84,101.44,139.93,30.98,116.07,172.89,162.01,30.45,,106.18,146.84,,,,70.91,102.66,,52.82,,112.96,159.25,55.39,179.77,132.91,69.43,104.27,96.85,82.65,188.03,175.65,86.84,165.66,72.14,48.8,195.84,66.7,106.91,93.87,101.2,56.45,112.37,161.16,123.85,64.57,87.11,30.38,163.4,132.58,88.93,179.79,108.51,60.28,139.89,79.2,120.73,86.29,151.72,206.8,110.29,131.18,115.03,169.44,208.49,72.15,73.93,58.05,85.95,66.46,156.99,178.63,138.64,92.99,156.06,72.38,52.92,89.01,91.62,78.18,121.12,40.67,183.69,144.95,64.49,60.34,35.19,194.12,152.64,182.41,168.58
2010-02-19,173.04,42.69,,64.05,106.5,103.6,152.43,71.89,175.89,91.29,110.49,206.56,103.96,142.88,31.78,115.56,172.15,164.06,30.52,,106.35,148.75,,,,72.2,103.82,,52.91,,112.89,160.37,55.8,185.72,133.38,70.32,105.78,98.14,81.52,186.55,174.97,86.9,166.99,72.66,48.54,198.18,65.57,109.12,94.65,101.81,56.97,115.41,157.01,124.17,65.17,88.19,30.04,162.12,131.85,88.31,179.73,109.77,59.97,144.12,79.6,121.47,86.48,152.35,205.24,111.18,133.08,114.33,172.04,207.08,73.28,73.56,62.7,85.96,68.56,158.53,179.13,139.09,93.14,157.78,72.83,53.55,89.88,93.26,78.81,122.16,41.14,184.22,148.69,65.84,60.78,35.29,193.23,152.9,184.98,169.64
